1, channel 1 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
3150
Wavenumber (cm-1)   Filter response
    19683.000000       0.000101
    19684.000000       0.000102
    19685.000000       0.000103
    19686.000000       0.000104
    19687.000000       0.000105
    19688.000000       0.000106
    19689.000000       0.000108
    19690.000000       0.000109
    19691.000000       0.000111
    19692.000000       0.000112
    19693.000000       0.000114
    19694.000000       0.000116
    19695.000000       0.000117
    19696.000000       0.000119
    19697.000000       0.000121
    19698.000000       0.000123
    19699.000000       0.000124
    19700.000000       0.000126
    19701.000000       0.000128
    19702.000000       0.000130
    19703.000000       0.000132
    19704.000000       0.000134
    19705.000000       0.000135
    19706.000000       0.000137
    19707.000000       0.000139
    19708.000000       0.000141
    19709.000000       0.000142
    19710.000000       0.000144
    19711.000000       0.000145
    19712.000000       0.000147
    19713.000000       0.000148
    19714.000000       0.000150
    19715.000000       0.000151
    19716.000000       0.000152
    19717.000000       0.000153
    19718.000000       0.000154
    19719.000000       0.000155
    19720.000000       0.000156
    19721.000000       0.000156
    19722.000000       0.000157
    19723.000000       0.000157
    19724.000000       0.000157
    19725.000000       0.000157
    19726.000000       0.000158
    19727.000000       0.000158
    19728.000000       0.000158
    19729.000000       0.000158
    19730.000000       0.000158
    19731.000000       0.000158
    19732.000000       0.000158
    19733.000000       0.000158
    19734.000000       0.000158
    19735.000000       0.000159
    19736.000000       0.000159
    19737.000000       0.000159
    19738.000000       0.000159
    19739.000000       0.000159
    19740.000000       0.000159
    19741.000000       0.000159
    19742.000000       0.000159
    19743.000000       0.000159
    19744.000000       0.000159
    19745.000000       0.000159
    19746.000000       0.000159
    19747.000000       0.000159
    19748.000000       0.000159
    19749.000000       0.000159
    19750.000000       0.000160
    19751.000000       0.000160
    19752.000000       0.000160
    19753.000000       0.000160
    19754.000000       0.000160
    19755.000000       0.000160
    19756.000000       0.000160
    19757.000000       0.000160
    19758.000000       0.000160
    19759.000000       0.000160
    19760.000000       0.000160
    19761.000000       0.000160
    19762.000000       0.000160
    19763.000000       0.000161
    19764.000000       0.000161
    19765.000000       0.000161
    19766.000000       0.000161
    19767.000000       0.000161
    19768.000000       0.000161
    19769.000000       0.000161
    19770.000000       0.000161
    19771.000000       0.000161
    19772.000000       0.000161
    19773.000000       0.000162
    19774.000000       0.000162
    19775.000000       0.000162
    19776.000000       0.000162
    19777.000000       0.000162
    19778.000000       0.000162
    19779.000000       0.000162
    19780.000000       0.000162
    19781.000000       0.000162
    19782.000000       0.000163
    19783.000000       0.000163
    19784.000000       0.000163
    19785.000000       0.000163
    19786.000000       0.000163
    19787.000000       0.000163
    19788.000000       0.000163
    19789.000000       0.000163
    19790.000000       0.000164
    19791.000000       0.000164
    19792.000000       0.000164
    19793.000000       0.000164
    19794.000000       0.000164
    19795.000000       0.000165
    19796.000000       0.000165
    19797.000000       0.000165
    19798.000000       0.000165
    19799.000000       0.000166
    19800.000000       0.000166
    19801.000000       0.000166
    19802.000000       0.000166
    19803.000000       0.000167
    19804.000000       0.000167
    19805.000000       0.000168
    19806.000000       0.000170
    19807.000000       0.000171
    19808.000000       0.000173
    19809.000000       0.000175
    19810.000000       0.000177
    19811.000000       0.000179
    19812.000000       0.000182
    19813.000000       0.000184
    19814.000000       0.000187
    19815.000000       0.000190
    19816.000000       0.000194
    19817.000000       0.000197
    19818.000000       0.000201
    19819.000000       0.000204
    19820.000000       0.000208
    19821.000000       0.000212
    19822.000000       0.000216
    19823.000000       0.000220
    19824.000000       0.000224
    19825.000000       0.000229
    19826.000000       0.000233
    19827.000000       0.000237
    19828.000000       0.000242
    19829.000000       0.000246
    19830.000000       0.000251
    19831.000000       0.000255
    19832.000000       0.000260
    19833.000000       0.000264
    19834.000000       0.000269
    19835.000000       0.000273
    19836.000000       0.000278
    19837.000000       0.000282
    19838.000000       0.000286
    19839.000000       0.000291
    19840.000000       0.000295
    19841.000000       0.000299
    19842.000000       0.000303
    19843.000000       0.000307
    19844.000000       0.000312
    19845.000000       0.000316
    19846.000000       0.000321
    19847.000000       0.000325
    19848.000000       0.000330
    19849.000000       0.000334
    19850.000000       0.000339
    19851.000000       0.000344
    19852.000000       0.000349
    19853.000000       0.000354
    19854.000000       0.000359
    19855.000000       0.000364
    19856.000000       0.000369
    19857.000000       0.000374
    19858.000000       0.000379
    19859.000000       0.000384
    19860.000000       0.000389
    19861.000000       0.000395
    19862.000000       0.000400
    19863.000000       0.000406
    19864.000000       0.000411
    19865.000000       0.000416
    19866.000000       0.000422
    19867.000000       0.000427
    19868.000000       0.000433
    19869.000000       0.000439
    19870.000000       0.000444
    19871.000000       0.000450
    19872.000000       0.000456
    19873.000000       0.000461
    19874.000000       0.000467
    19875.000000       0.000473
    19876.000000       0.000478
    19877.000000       0.000484
    19878.000000       0.000490
    19879.000000       0.000495
    19880.000000       0.000501
    19881.000000       0.000507
    19882.000000       0.000513
    19883.000000       0.000519
    19884.000000       0.000525
    19885.000000       0.000531
    19886.000000       0.000537
    19887.000000       0.000543
    19888.000000       0.000550
    19889.000000       0.000556
    19890.000000       0.000562
    19891.000000       0.000569
    19892.000000       0.000575
    19893.000000       0.000582
    19894.000000       0.000589
    19895.000000       0.000595
    19896.000000       0.000602
    19897.000000       0.000609
    19898.000000       0.000615
    19899.000000       0.000622
    19900.000000       0.000629
    19901.000000       0.000636
    19902.000000       0.000642
    19903.000000       0.000649
    19904.000000       0.000656
    19905.000000       0.000662
    19906.000000       0.000669
    19907.000000       0.000676
    19908.000000       0.000682
    19909.000000       0.000689
    19910.000000       0.000695
    19911.000000       0.000702
    19912.000000       0.000708
    19913.000000       0.000715
    19914.000000       0.000721
    19915.000000       0.000727
    19916.000000       0.000733
    19917.000000       0.000740
    19918.000000       0.000746
    19919.000000       0.000751
    19920.000000       0.000757
    19921.000000       0.000763
    19922.000000       0.000768
    19923.000000       0.000774
    19924.000000       0.000779
    19925.000000       0.000784
    19926.000000       0.000788
    19927.000000       0.000793
    19928.000000       0.000797
    19929.000000       0.000802
    19930.000000       0.000806
    19931.000000       0.000810
    19932.000000       0.000814
    19933.000000       0.000818
    19934.000000       0.000822
    19935.000000       0.000826
    19936.000000       0.000830
    19937.000000       0.000834
    19938.000000       0.000838
    19939.000000       0.000842
    19940.000000       0.000846
    19941.000000       0.000850
    19942.000000       0.000855
    19943.000000       0.000859
    19944.000000       0.000864
    19945.000000       0.000868
    19946.000000       0.000873
