Band Num,Nominal Center Wavelength,Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
,nm,W/m^2/um,,,,
1,380.9352026882638,1108.332719009567,0.443139,0.030012,0.0,5.999004000920859e-19
2,412.48543616936905,1734.4654315701493,0.317102,0.029482,0.0002462817564375987,6.0163148170257215e-19
3,443.75877013213,1908.0884685539502,0.233371,0.029088,0.0030285774203174767,4.990848473528426e-19
4,490.698455247574,1963.4215285126252,0.154912,0.028668,0.022531907777702764,2.743110786158426e-19
5,510.4811428544655,1873.8342221733583,0.131832,0.028531,0.04154749140314536,2.050310866943745e-19
6,555.187823783691,1834.5390074444636,0.093438,0.028279,0.09750506598366666,9.186738177117199e-20
7,620.0081570615616,1657.2961643501606,0.059559,0.028021,0.10949152780976082,2.60201768877757e-20
8,660.0502111523269,1521.0498220277195,0.046182,0.027902,0.05527441615629662,8.209624545338138e-21
9,680.0764025882208,1473.942779430528,0.040884,0.027852,0.035914614048300535,7.219192282292199e-21
10,709.0795461317236,1403.023064982632,0.034526,0.027787,0.018808147908102955,4.87400360767398e-21
11,745.5323381151757,1277.083603605113,0.028197,0.027718,0.010576524492330706,1.6095906004013337e-21
12,862.197002439776,957.4094675092955,0.015689,0.027556,0.002330791261050634,3.7020603798629465e-23
