
/begin_header
/missing=-999
/delimiter=space
!
! Water absorption and scattering coefficients
! 200nm - 2450nm
!
! Absorption coefficients were derived from Pope and Fry and Kou et. al.,
!
! Scattering coefficients were derived from Zhang et al. (2009)
! using a temperature of 20 degrees C and a salinity of 38.4 g/kg
!
!       Pope, R. M. and E. S. Fry, 1997, "Absorption spectrum (380-700 nm) of
!               pure water. II. Integrating cavity measurements,"
!               Appl. Opt.,36, 8710-8723.
!
!       Kou, L., D. Labrie, P. Chylek, 1993, "Refractive indices of water and
!               ice in the 0.65-2.5 m spectral range,"
!               Appl. Opt.,32, 3531-3540.
!
!	Zhang, X., L. Hu, and M-X. He, 2009, "Scattering by pure seawater:
		Effect of salinity,"
		Opt. Express 17, 5698-5710.
!
! NOTE: for backscatter, we use 0.5*bw
!
/fields=wavelength,aw,bw
/units=nm,m^-1,m^-1
/end_header
200.0 3.07000 0.186283
200.1 3.05920 0.185751
200.2 3.04840 0.185220
200.3 3.03760 0.184691
200.4 3.02680 0.184164
200.5 3.01600 0.183639
200.6 3.00520 0.183116
200.7 2.99440 0.182595
200.8 2.98360 0.182076
200.9 2.97280 0.181559
201.0 2.96200 0.181044
201.1 2.95120 0.180531
201.2 2.94040 0.180020
201.3 2.92960 0.179511
201.4 2.91880 0.179003
201.5 2.90800 0.178498
201.6 2.89720 0.177994
201.7 2.88640 0.177492
201.8 2.87560 0.176992
201.9 2.86480 0.176494
202.0 2.85400 0.175998
202.1 2.84320 0.175504
202.2 2.83240 0.175011
202.3 2.82160 0.174521
202.4 2.81080 0.174032
202.5 2.80000 0.173545
202.6 2.78920 0.173060
202.7 2.77840 0.172576
202.8 2.76760 0.172094
202.9 2.75680 0.171615
203.0 2.74600 0.171136
203.1 2.73520 0.170660
203.2 2.72440 0.170186
203.3 2.71360 0.169713
203.4 2.70280 0.169241
203.5 2.69200 0.168772
203.6 2.68120 0.168304
203.7 2.67040 0.167838
203.8 2.65960 0.167374
203.9 2.64880 0.166912
204.0 2.63800 0.166451
204.1 2.62720 0.165991
204.2 2.61640 0.165534
204.3 2.60560 0.165078
204.4 2.59480 0.164624
204.5 2.58400 0.164171
204.6 2.57320 0.163720
204.7 2.56240 0.163271
204.8 2.55160 0.162823
204.9 2.54080 0.162377
205.0 2.53000 0.161933
205.1 2.51920 0.161490
205.2 2.50840 0.161049
205.3 2.49760 0.160609
205.4 2.48680 0.160171
205.5 2.47600 0.159735
205.6 2.46520 0.159300
205.7 2.45440 0.158866
205.8 2.44360 0.158435
205.9 2.43280 0.158004
206.0 2.42200 0.157576
206.1 2.41120 0.157149
206.2 2.40040 0.156723
206.3 2.38960 0.156299
206.4 2.37880 0.155876
206.5 2.36800 0.155455
206.6 2.35720 0.155036
206.7 2.34640 0.154618
206.8 2.33560 0.154201
206.9 2.32480 0.153786
207.0 2.31400 0.153372
207.1 2.30320 0.152960
207.2 2.29240 0.152549
207.3 2.28160 0.152140
207.4 2.27080 0.151732
207.5 2.26000 0.151326
207.6 2.24920 0.150921
207.7 2.23840 0.150517
207.8 2.22760 0.150115
207.9 2.21680 0.149715
208.0 2.20600 0.149315
208.1 2.19520 0.148918
208.2 2.18440 0.148521
208.3 2.17360 0.148126
208.4 2.16280 0.147732
208.5 2.15200 0.147340
208.6 2.14120 0.146949
208.7 2.13040 0.146560
208.8 2.11960 0.146171
208.9 2.10880 0.145785
209.0 2.09800 0.145399
209.1 2.08720 0.145015
209.2 2.07640 0.144632
209.3 2.06560 0.144251
209.4 2.05480 0.143871
209.5 2.04400 0.143492
209.6 2.03320 0.143114
209.7 2.02240 0.142738
